Time(Days),x_rot(km),y_rot(km),z_rot(km),vx_rot(km/s),vy_rot(km/s),vz_rot(km/s)
0.16669445,385612.94208006,-1527.83994473,792.92695739,-1.33692022,-0.81477557,-0.48154590
0.16802800,385455.76905650,-1613.50962076,733.38993380,-1.38892569,-0.67099530,-0.55100727
0.16936156,385293.44241186,-1682.19266082,666.17556759,-1.42629930,-0.52017774,-0.61469436
0.17069512,385127.67216586,-1733.16939404,591.98822634,-1.44864821,-0.36391619,-0.67193998
0.17202867,384960.20443493,-1765.90716789,511.60527952,-1.45573921,-0.20386074,-0.72214524
0.17336223,384792.80288598,-1780.06587943,425.86886052,-1.44750109,-0.04170063,-0.76478584
0.17469578,384627.23002288,-1775.50144084,335.67694967,-1.42402521,0.12085395,-0.79941753
0.17602934,384465.22850953,-1752.26714454,241.97387578,-1.38556426,0.28209008,-0.82568071
0.17736289,384308.50273244,-1710.61292170,145.74034089,-1.33252933,0.44031040,-0.84330413
0.17869645,384158.70080155,-1650.98250689,47.98307695,-1.26548528,0.59385117,-0.85210759
0.18003001,384017.39718206,-1574.00854886,-50.27575329,-1.18514441,0.74109981,-0.85200364
0.18136356,383886.07614179,-1480.50572627,-148.00929690,-1.09235865,0.88051195,-0.84299835
0.18269712,383766.11618791,-1371.46195168,-244.19677794,-0.98811022,1.01062755,-0.82519102
0.18403067,383658.77565555,-1248.02776432,-337.83417690,-0.87350099,1.13008618,-0.79877291
0.18536423,383565.17959583,-1111.50403367,-427.94470999,-0.74974059,1.23764107,-0.76402508
0.18669778,383486.30809724,-963.32811045,-513.58899884,-0.61813344,1.33217193,-0.72131517
0.18803134,383422.98615603,-805.05857894,-593.87482573,-0.48006485,1.41269644,-0.67109340
0.18936489,383375.87519594,-638.35877624,-667.96637428,-0.33698634,1.47838012,-0.61388771
0.19069845,383345.46631739,-464.97925716,-735.09286244,-0.19040030,1.52854477,-0.55029804
0.19203201,383332.07533963,-286.73939079,-794.55648080,-0.04184425,1.56267507,-0.48098999
0.19336556,383335.83967805,-105.50828434,-845.73955841,0.10712525,1.58042366,-0.40668781
0.19469912,383356.71708259,76.81476742,-888.11088525,0.25494879,1.58161429,-0.32816675
0.19603267,383394.48624063,258.32010363,-921.23113139,0.40008026,1.56624337,-0.24624505
0.19736623,383448.74923306,437.10758663,-944.75731036,0.54100282,1.53447960,-0.16177538
0.19869978,383518.93580959,611.30635626,-958.44624624,0.67624451,1.48666200,-0.07563610
0.20003334,383604.30943589,779.09424929,-962.15701198,0.80439337,1.42329608,0.01127780
0.20136689,383703.97504411,938.71668903,-955.85231858,0.92411186,1.34504847,0.09806388
0.20270045,383816.88840601,1088.50485592,-939.59884322,1.03415056,1.25273982,0.18382144
0.20403401,383941.86702905,1226.89295883,-913.56649640,1.13336090,1.14733632,0.26766076
0.20536756,384077.60246494,1352.43443503,-878.02663657,1.22070695,1.02993960,0.34871211
0.20670112,384222.67390421,1463.81691900,-833.34925236,1.29527593,0.90177545,0.42613462
0.20803467,384375.56292083,1559.87583093,-779.99914043,1.35628761,0.76418118,0.49912485
0.20936823,384534.66921817,1639.60645065,-718.53111815,1.40310232,0.61859199,0.56692498
0.21070178,384698.32721988,1702.17435547,-649.58431784,1.43522757,0.46652623,0.62883053
0.21203534,384864.82333980,1746.92411761,-573.87561913,1.45232321,0.30956992,0.68419757
0.21336889,385032.41375924,1773.38617122,-492.19228320,1.45420509,0.14936053,0.73244938
0.21470245,385199.34253399,1781.28177846,-405.38386154,1.44084711,-0.01242982,0.77308238
0.21603601,385363.85984997,1770.52603913,-314.35345759,1.41238172,-0.17411145,0.80567139
0.21736956,385524.24024371,1741.22891009,-220.04842780,1.36909884,-0.33399457,0.82987411
0.21870312,385678.80060340,1693.69421646,-123.45061299,1.31144311,-0.49040667,0.84543480
0.22003667,385825.91776687,1628.41665881,-25.56619750,1.24000966,-0.64170987,0.85218703
0.22137023,385964.04553527,1546.07683814,72.58470324,1.15553821,-0.78631796,0.85005565
0.22270378,386091.73092593,1447.53434187,169.97862142,1.05890575,-0.92271299,0.83905771
0.22403734,386207.62949313,1333.81895268,265.59937486,0.95111772,-1.04946122,0.81930255
0.22537090,386310.51955407,1206.12006271,358.44865489,0.83329782,-1.16522829,0.79099085
0.22670445,386399.31516635,1065.77439391,447.55645470,0.70667655,-1.26879347,0.75441281
0.22803801,386473.07771490,914.25214468,531.99122884,0.57257854,-1.35906266,0.70994531
0.22937156,386531.02597933,753.14170026,610.86967642,0.43240889,-1.43508030,0.65804821
0.23070512,386572.54456751,584.13306107,683.36604335,0.28763848,-1.49603970,0.59925972
0.23203867,386597.19061743,409.00015859,748.72084295,0.13978861,-1.54129200,0.53419093
0.23337223,386604.69868735,229.58224203,806.24889961,-0.00958502,-1.57035334,0.46351956
0.23470578,386594.98377296,47.76453077,855.34662646,-0.15890881,-1.58291037,0.38798289
0.23603934,386568.14241105,-134.54166209,895.49845604,-0.30660794,-1.57882396,0.30837016
0.23737290,386524.45184901,-315.41912292,926.28235073,-0.45112321,-1.55813096,0.22551423
0.23870645,386464.36728249,-492.96502939,947.37433063,-0.59092772,-1.52104416,0.14028284
0.24004001,386388.51718369,-665.31112068,958.55196592,-0.72454329,-1.46795020,0.05356943
0.24137356,386297.69676594,-830.64352565,959.69679291,-0.85055639,-1.39940572,-0.03371638
0.24270712,386192.85965073,-987.22203141,950.79562465,-0.96763333,-1.31613155,-0.12065842
0.24404067,386075.10782474,-1133.39857976,931.94073922,-1.07453476,-1.21900510,-0.20634380
