Time(Days),x_rot(km),y_rot(km),z_rot(km),vx_rot(km/s),vy_rot(km/s),vz_rot(km/s)
-3.81495374,592630.05758834,-278955.09766173,29523.03347397,-1.50659123,0.13531856,-0.08326946
-3.81395349,592499.87010135,-278943.37937304,29515.83702799,-1.50625457,0.13587029,-0.08327329
-3.81295324,592369.71171577,-278931.61340867,29508.64025068,-1.50591776,0.13642189,-0.08327713
-3.81195299,592239.58244435,-278919.79977946,29501.44314195,-1.50558080,0.13697336,-0.08328096
-3.81095274,592109.48229983,-278907.93849631,29494.24570167,-1.50524369,0.13752471,-0.08328480
-3.80995249,591979.41129494,-278896.02957007,29487.04792975,-1.50490644,0.13807594,-0.08328864
-3.80895224,591849.36944243,-278884.07301164,29479.84982607,-1.50456904,0.13862703,-0.08329248
-3.80795199,591719.35675503,-278872.06883189,29472.65139052,-1.50423149,0.13917801,-0.08329632
-3.80695174,591589.37324545,-278860.01704171,29465.45262299,-1.50389379,0.13972885,-0.08330016
-3.80595149,591459.41892642,-278847.91765198,29458.25352338,-1.50355595,0.14027957,-0.08330400
-3.80495124,591329.49381066,-278835.77067360,29451.05409157,-1.50321796,0.14083017,-0.08330785
-3.80395099,591199.59791088,-278823.57611745,29443.85432745,-1.50287982,0.14138063,-0.08331169
-3.80295074,591069.73123979,-278811.33399443,29436.65423091,-1.50254154,0.14193098,-0.08331554
-3.80195049,590939.89381009,-278799.04431545,29429.45380184,-1.50220311,0.14248119,-0.08331939
-3.80095024,590810.08563447,-278786.70709138,29422.25304014,-1.50186453,0.14303128,-0.08332324
-3.79994999,590680.30672563,-278774.32233316,29415.05194569,-1.50152581,0.14358124,-0.08332709
-3.79894974,590550.55709627,-278761.89005167,29407.85051839,-1.50118693,0.14413108,-0.08333094
-3.79794949,590420.83675906,-278749.41025782,29400.64875811,-1.50084792,0.14468079,-0.08333479
-3.79694924,590291.14572668,-278736.88296254,29393.44666476,-1.50050875,0.14523038,-0.08333865
-3.79594899,590161.48401182,-278724.30817672,29386.24423822,-1.50016944,0.14577984,-0.08334251
