Time(Days),x_rot(km),y_rot(km),z_rot(km),vx_rot(km/s),vy_rot(km/s),vz_rot(km/s)
-0.13127188,49054.97799825,6348.52353023,0.00000000,3.23166043,1.57760363,0.00000000
-0.13202200,49264.15998168,6450.70047207,0.00000000,3.22350946,1.57547988,0.00000000
-0.13277213,49472.81599631,6552.73973695,0.00000000,3.21542936,1.57335507,0.00000000
-0.13352225,49680.95060280,6654.64126148,0.00000000,3.20741913,1.57122937,0.00000000
-0.13427238,49888.56829788,6756.40499278,0.00000000,3.19947780,1.56910293,0.00000000
-0.13502250,50095.67351560,6858.03088816,0.00000000,3.19160441,1.56697591,0.00000000
-0.13577263,50302.27062854,6959.51891474,0.00000000,3.18379801,1.56484846,0.00000000
-0.13652275,50508.36394898,7060.86904915,0.00000000,3.17605770,1.56272071,0.00000000
-0.13727288,50713.95773005,7162.08127716,0.00000000,3.16838255,1.56059282,0.00000000
-0.13802300,50919.05616683,7263.15559343,0.00000000,3.16077169,1.55846491,0.00000000
-0.13877313,51123.66339749,7364.09200117,0.00000000,3.15322425,1.55633711,0.00000000
-0.13952325,51327.78350432,7464.89051186,0.00000000,3.14573937,1.55420956,0.00000000
-0.14027338,51531.42051474,7565.55114498,0.00000000,3.13831622,1.55208236,0.00000000
-0.14102350,51734.57840237,7666.07392772,0.00000000,3.13095396,1.54995564,0.00000000
-0.14177363,51937.26108804,7766.45889475,0.00000000,3.12365180,1.54782952,0.00000000
-0.14252375,52139.47244070,7866.70608792,0.00000000,3.11640894,1.54570409,0.00000000
-0.14327388,52341.21627840,7966.81555603,0.00000000,3.10922460,1.54357947,0.00000000
-0.14402400,52542.49636923,8066.78735465,0.00000000,3.10209802,1.54145576,0.00000000
-0.14477413,52743.31643218,8166.62154578,0.00000000,3.09502845,1.53933305,0.00000000
-0.14552425,52943.68013805,8266.31819776,0.00000000,3.08801515,1.53721144,0.00000000
-0.14627438,53143.59111030,8365.87738494,0.00000000,3.08105740,1.53509103,0.00000000
-0.14702450,53343.05292592,8465.29918754,0.00000000,3.07415449,1.53297190,0.00000000
-0.14777463,53542.06911620,8564.58369144,0.00000000,3.06730571,1.53085414,0.00000000
-0.14852475,53740.64316760,8663.73098797,0.00000000,3.06051039,1.52873782,0.00000000
-0.14927488,53938.77852249,8762.74117371,0.00000000,3.05376784,1.52662304,0.00000000
-0.15002500,54136.47857994,8861.61435037,0.00000000,3.04707741,1.52450987,0.00000000
-0.15077513,54333.74669648,8960.35062452,0.00000000,3.04043845,1.52239837,0.00000000
-0.15152525,54530.58618680,9058.95010750,0.00000000,3.03385031,1.52028863,0.00000000
-0.15227538,54727.00032452,9157.41291522,0.00000000,3.02731236,1.51818071,0.00000000
-0.15302550,54922.99234286,9255.73916800,0.00000000,3.02082400,1.51607469,0.00000000
-0.15377563,55118.56543533,9353.92899044,0.00000000,3.01438461,1.51397061,0.00000000
-0.15452575,55313.72275642,9451.98251122,0.00000000,3.00799359,1.51186856,0.00000000
-0.15527588,55508.46742224,9549.89986302,0.00000000,3.00165036,1.50976858,0.00000000
-0.15602600,55702.80251116,9647.68118232,0.00000000,2.99535434,1.50767073,0.00000000
